,year,atmospheric co2 mean,atmospheric ch4 mean,atmospheric n2o mean,atmospheric sf6 mean,co2 emissions,co2 emissions growth%,methane emissions,nitrous oxide emissions,primary_energy_consumption,Eruptions_Total,Volcanoes_Active,ch4 emissions growth%,atmospheric co2 growth%,atmospheric ch4 growth%,Temperature Anomaly
215,1965,320.04,1644.84,316.36,4.21,11310.6025390625,4.491055011749268,5343.486328125,1493.051513671875,43360.30859375,60.0,56.0,0.0,0.0,0.0,-0.11
216,1966,321.37,1644.84,316.36,4.21,11862.625,4.8805832862854,5545.5986328125,1556.81201171875,45732.44921875,63.0,60.0,3.7824051990869467,0.4155730533683233,0.0,-0.06
217,1967,322.18,1644.84,316.36,4.21,12237.37109375,3.159046173095703,5608.18603515625,1613.397216796875,47410.5546875,66.0,61.0,1.128595963895207,0.25204592836916007,0.0,-0.02
218,1968,323.05,1644.84,316.36,4.21,12905.2734375,5.457890033721924,5702.2890625,1665.257080078125,50246.74609375,58.0,54.0,1.6779583764490402,0.2700353839468539,0.0,-0.08
219,1969,324.62,1644.84,316.36,4.21,13761.7978515625,6.637012958526611,5885.06982421875,1704.9993896484375,53700.40234375,57.0,54.0,3.2053927767494717,0.4859928803590652,0.0,0.05
220,1970,325.68,1644.84,316.36,4.21,14899.138671875,8.264470100402832,6036.8876953125,1731.28125,57177.61328125,57.0,55.0,2.579712316563798,0.32653564167333116,0.0,0.03
221,1971,326.32,1644.84,316.36,4.21,15503.8623046875,4.05879020690918,6056.77001953125,1719.65966796875,59438.5625,56.0,53.0,0.32934726008218007,0.19651191353475816,0.0,-0.08
222,1972,327.46,1644.84,316.36,4.21,16224.5791015625,4.64862585067749,6183.962890625,1780.7413330078125,62703.9921875,54.0,52.0,2.1000115686016008,0.34935033096346046,0.0,0.01
223,1973,329.68,1644.84,316.36,4.21,17077.28515625,5.255639553070068,6345.58349609375,1838.9190673828125,66337.6484375,69.0,65.0,2.613544232514231,0.6779453979111949,0.0,0.16
224,1974,330.19,1644.84,316.36,4.21,16997.912109375,-0.464785099029541,6363.31640625,1852.22900390625,66696.5078125,64.0,60.0,0.27945279054584216,0.15469546226642983,0.0,-0.07
225,1975,331.13,1644.84,316.36,4.21,16988.4765625,-0.0555157661437988,6448.271484375,1906.74658203125,67157.296875,52.0,49.0,1.3350754968204592,0.28468457554740034,0.0,-0.01
