year	Eruptions_Started_(New)	Eruptions_Ended	Eruptions_Total	Volcanoes_Active	Countries	VEI <= 2	VEI 3	VEI 4	VEI 5	VEI 6
2025	29	26	71	63	27	29	0	0	0	0
2024	31	31	73	65	28	28	2	1	0	0
2023	27	33	75	71	28	23	4	0	0	0
2022	35	37	85	80	28	33	2	0	0	0
2021	34	32	82	76	30	31	1	1	1	0
2020	26	24	72	68	29	20	4	2	0	0
2019	28	30	76	73	28	22	3	3	0	0
2018	39	33	81	76	28	32	6	1	0	0
2017	33	33	75	71	29	26	6	1	0	0
2016	36	44	86	75	28	30	6	0	0	0
2015	43	39	89	82	31	35	6	2	0	0
2014	41	33	79	71	31	30	8	3	0	0
2013	37	42	80	73	29	29	7	1	0	0
2012	41	38	81	72	27	36	5	0	0	0
2011	36	36	76	71	28	31	2	2	1	0
2010	33	37	77	69	24	21	10	2	0	0
2009	31	31	75	68	25	28	2	1	0	0
2008	45	39	86	80	28	36	6	3	0	0
2007	36	38	81	76	29	30	6	0	0	0
2006	44	41	86	76	29	39	4	1	0	0
2005	46	38	83	75	28	39	7	0	0	0
2004	49	43	81	71	27	41	7	1	0	0
2003	28	31	64	62	25	24	4	0	0	0
2002	41	35	74	66	25	36	3	2	0	0
2001	33	36	70	65	26	27	6	0	0	0
2000	39	38	75	67	29	34	4	1	0	0
1999	39	32	70	67	26	34	4	1	0	0
1998	32	23	59	56	24	27	5	0	0	0
1997	25	25	55	51	23	21	4	0	0	0
1996	35	26	61	59	23	29	6	0	0	0
1995	33	36	65	62	29	29	4	0	0	0
1994	33	27	62	58	22	28	4	1	0	0
1993	27	28	60	58	24	25	1	1	0	0
1992	27	25	61	57	24	24	2	1	0	0
1991	37	30	67	65	27	31	4	0	1	1
1990	30	27	60	56	22	23	6	1	0	0
1989	25	27	57	55	24	23	2	0	0	0
1988	27	30	64	62	24	23	4	0	0	0
1987	32	26	64	62	23	29	3	0	0	0
1986	41	38	75	67	28	32	6	3	0	0
1985	27	25	60	54	25	22	5	0	0	0
1984	33	29	64	59	23	28	5	0	0	0
1983	32	24	58	55	20	25	6	1	0	0
1982	32	35	64	59	22	27	3	1	1	0
1981	29	24	60	56	24	22	5	2	0	0
1980	40	37	73	67	25	30	9	0	1	0
1979	32	24	65	60	22	28	4	0	0	0
1978	25	22	58	56	22	23	2	0	0	0
1977	39	35	73	65	26	35	4	0	0	0
1976	29	23	61	56	23	27	1	1	0	0
1975	23	16	52	49	22	21	1	1	0	0
1974	27	32	64	60	19	22	4	1	0	0
1973	41	29	69	65	21	35	5	1	0	0
1972	29	21	54	52	22	24	5	0	0	0
1971	32	28	56	53	20	27	5	0	0	0
1970	34	25	57	55	23	28	6	0	0	0
1969	32	29	57	54	22	30	2	0	0	0
1968	32	29	58	54	22	24	7	1	0	0
1967	43	31	66	61	24	37	6	0	0	0
1966	35	32	63	60	23	24	9	2	0	0
1965	34	27	60	56	24	27	6	1	0	0
1964	29	29	58	54	21	27	1	1	0	0
1963	40	27	64	58	20	31	8	0	1	0
1962	29	21	52	51	17	24	5	0	0	0
1961	32	25	56	52	21	27	5	0	0	0
1960	35	18	58	56	20	26	9	0	0	0
